Zip,City,Robbery,Violent Crime,Murder & Manslaughter,Forcible Rape,Aggravated Assault,Property Crime,Burglary,Larceny & Theft,Motor Vehicle Theft,Arson,Total
29148,Summerton SC,6,21,0,0,15,72,16,52,4,0,93
29150,Sumter SC,101,531,4,9,417,2568,683,1743,142,11,3099
29152,Sumter SC,101,531,4,9,417,2568,683,1743,142,11,3099
29153,Sumter SC,101,531,4,9,417,2568,683,1743,142,11,3099
29154,Sumter SC,101,531,4,9,417,2568,683,1743,142,11,3099
29160,Gaston SC,0,0,0,0,0,5,2,3,0,0,5
29160,Swansea SC,2,15,0,0,13,45,6,35,4,0,60
29161,Timmonsville SC,8,48,0,2,38,176,63,104,9,2,224
29162,Turbeville SC,0,4,0,0,4,28,11,13,4,0,32
29163,Vance SC,1,3,0,0,2,11,2,6,3,1,14
29164,Wagener SC,0,9,0,1,8,31,5,22,4,0,40
29169,Cayce SC,21,153,0,13,119,745,140,554,51,2,898
29169,Springdale SC,4,10,0,0,6,99,15,79,5,0,109
29169,West Columbia SC,53,167,0,11,103,885,139,698,48,3,1052
29170,Cayce SC,21,153,0,13,119,745,140,554,51,2,898
29170,South Congaree SC,1,8,0,0,7,88,22,59,7,0,96
29170,Springdale SC,4,10,0,0,6,99,15,79,5,0,109
29172,Cayce SC,21,153,0,13,119,745,140,554,51,2,898
29172,Pine Ridge SC,1,5,0,0,4,51,16,33,2,0,56
29172,South Congaree SC,1,8,0,0,7,88,22,59,7,0,96
29178,Whitmire SC,0,4,0,1,3,44,6,38,0,0,48
29180,Winnsboro SC,4,45,0,4,37,244,29,211,4,1,289
29201,Cayce SC,21,153,0,13,119,745,140,554,51,2,898
29201,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29203,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29204,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29204,Forest Acres SC,24,74,0,3,47,680,104,540,36,7,754
29205,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29206,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29206,Forest Acres SC,24,74,0,3,47,680,104,540,36,7,754
29208,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29209,Cayce SC,21,153,0,13,119,745,140,554,51,2,898
29209,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
