,zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015,job_growth_per
380,29899,UNIQUE,0,Mc Cormick,,Mccormick Correctional Inst,SC,McCormick County,America/New_York,864,,US,33.93,-82.25,0,2.5
381,29902,STANDARD,0,Beaufort,,"Laurel Bay, Naval Hospital, Parris Island",SC,Beaufort County,America/New_York,843,,US,32.33,-80.68,12470,1.6
382,29906,STANDARD,0,Beaufort,,,SC,Beaufort County,America/New_York,843,,US,32.45,-80.75,18760,1.6
383,29907,STANDARD,0,Ladys Island,Beaufort,Ladies Island,SC,Beaufort County,America/New_York,843,,US,32.43,-80.64,11580,1.6
384,29909,STANDARD,0,Okatie,Bluffton,"Callawassie Island, Spring Island, Sun City",SC,Beaufort County,America/New_York,843,,US,32.3,-80.92,17820,1.6
385,29910,STANDARD,0,Bluffton,,"Brighton Beach, Pritchardville",SC,Beaufort County,America/New_York,843,,US,32.23,-80.86,39700,1.6
386,29911,STANDARD,0,Brunson,,,SC,Hampton County,America/New_York,803,,US,32.92,-81.18,1320,1.6
387,29912,STANDARD,0,Coosawhatchie,,Ridgeland,SC,Jasper County,America/New_York,843,,US,32.58,-80.93,18,1.6
388,29915,STANDARD,0,Daufuskie Island,Daufuskie Is,Hilton Head Island,SC,Beaufort County,America/New_York,843,,US,32.12,-80.86,340,1.6
389,29916,STANDARD,0,Early Branch,,"Barkersville, Fechtig, Grays",SC,Hampton County,America/New_York,843,,US,32.74,-80.92,1180,1.6
390,29918,STANDARD,0,Estill,,Nixville,SC,Hampton County,America/New_York,803,,US,32.75,-81.24,3620,1.6
391,29920,STANDARD,0,Saint Helena Island,"Fripp Island, St Helena Is","Dataw Island, Frogmore, Harbor Isl",SC,Beaufort County,America/New_York,843,,US,32.38,-80.56,8090,1.6
