Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201803,29153,"Sumter, SC",Single Family Home,*,166700,0,0.0963,57.5,-0.0574,-0.1544,64.25,-0.3325,,18,0.125,0.8,0,,,12,0.5,2,31.5,0.6579,0.8,165359,-0.005,-0.0384,89,0.1125,0.0409,0.5478,0.2364,0.2905
201803,29154,"Sumter, SC",Single Family Home,*,149275,-0.0065,,94.5,-0.16,,66,-0.2584,,36,0.0588,-0.0526,0,,-1,16,0,0,62,0.2525,0.2525,162232,0.011,-0.1134,156.5,-0.034,-0.2998,0.6561,0.2161,0.3716
201803,29160,"Swansea, SC",Single Family Home,,137290,0.0578,0.0398,20.5,0.1081,-0.2407,60.5,0.6242,-0.032,2,-0.75,-0.875,0,,,4,,-0.6,0,,,154455,0.1536,-0.0053,20.5,0.1081,-0.2407,0,0,0
201803,29161,"Timmonsville, SC",Single Family Home,*,90550,0.1208,,19.5,0.1143,,51.25,-0.3513,,8,0.3333,3,0,,,2,-0.5,-0.5,0,-1,,125367,0.2096,-0.0476,19.5,0.0833,0.2188,0,-0.0286,0
201803,29164,"Wagener, SC",Single Family Home,*,503300,0.2913,,21.5,0.1316,-0.0227,95.5,-0.2107,-0.3859,0,-1,-1,0,,,2,0,-0.5,0,,,1030250,0.0353,0.2229,21.5,0.1316,-0.0227,0,0,0
201803,29169,"West Columbia, SC",Single Family Home,,164272.5,0.0568,0.1443,63,0.0413,-0.2364,42.25,-0.5087,-0.0398,40,0.8182,0.3333,0,,-1,8,-0.4286,-0.4286,0,,,215913,-0.0245,0.2179,63,0.0413,-0.2364,0,0,0
201803,29170,"West Columbia, SC",Single Family Home,*,165950,0.0035,0.1874,84,0.006,,48.75,-0.2642,-0.1055,36,-0.0526,-0.1818,16,7,,16,0.3333,-0.1111,0,,-1,179027,0.0044,0.1046,84,0.006,-0.0455,0,0,-0.0115
201803,29172,"West Columbia, SC",Single Family Home,,151827.5,0.0104,0.2519,27,-0.1818,0.2558,65.25,0.237,0.267,2,-0.8333,-0.6667,0,,,6,0.5,0,0,,,169838,0.0364,0.2097,27,-0.1818,0.2558,0,0,0
201803,29180,"Winnsboro, SC",Single Family Home,*,157550,-0.0156,-0.0745,39,0.04,,99.25,-0.1079,-0.3361,6,-0.25,-0.4,0,,,4,1,,2,1,,186922,-0.1045,-0.2287,41,0.0649,-0.0465,0.0513,0.0246,0.0513
201803,29201,"Columbia, SC",Single Family Home,*,188500,-0.0562,,41,-0.012,-0.4143,56.5,-0.1812,-0.0813,16,-0.1111,-0.4667,0,,,16,1.6667,0.6,0,,,244592,-0.071,0.4074,41,-0.012,-0.4143,0,0,0
201803,29203,"Columbia, SC",Single Family Home,,67050,0.0307,0.1166,88.5,0.0057,-0.149,61.5,-0.4384,-0.016,30,0.6667,-0.2857,0,,,10,-0.375,-0.1667,0,,,93659,-0.0297,0.0879,88.5,0.0057,-0.149,0,0,0
201803,29204,"Columbia, SC",Single Family Home,*,142425,0.1171,,91.5,0,-0.1528,62.75,-0.4136,0.0287,26,0.0833,-0.2778,0,,-1,28,0.5556,0.2727,0,-1,,188497,0.1397,0.195,91.5,-0.0108,-0.1528,0,-0.0109,0
201803,29205,"Columbia, SC",Single Family Home,*,205000,-0.1367,,96,0.0909,,53,-0.152,,48,0.3333,-0.0769,0,,,28,0.4,0,0,,,269205,-0.0823,-0.3623,96,0.0909,-0.3402,0,0,0
201803,29206,"Columbia, SC",Single Family Home,*,278950,0.0142,0.1663,65,-0.0647,-0.3158,63.5,-0.3316,,28,0.5556,-0.4167,0,,,22,1.2,-0.2667,0,,,364582,0.0237,0.2037,65,-0.0647,-0.3158,0,0,0
201803,29209,"Columbia, SC",Single Family Home,*,141875,-0.0251,-0.0182,115.5,0.0645,,52,0.0452,-0.2121,56,0.2727,0.2174,0,,,30,0,0.3636,2,1,1,205895,0.0174,0.1973,117.5,0.0731,-0.2835,0.0173,0.0081,0.0112
201803,29210,"Columbia, SC",Single Family Home,,132500,0.0015,0.1179,59.5,-0.0916,-0.2323,38,-0.1364,-0.2083,30,-0.0625,-0.0625,4,,,16,0.3333,-0.2,0,,,136820,-0.0064,0.1453,59.5,-0.0916,-0.2323,0,0,0
